,T_obs,T_near_future,T_long_term
371,298.5848,300.91635,308.51562
372,299.26877,301.90253,311.08304
373,299.05856,300.95245,310.97372
374,298.84714,302.2813,306.00677
375,299.42746,303.83887,300.63068
376,300.54135,305.27817,299.8822
377,301.82217,304.57626,301.34866
378,301.1915,299.901,303.2282
379,299.00052,295.6393,304.88412
380,296.14212,293.93173,305.96143
381,295.9497,295.57288,305.34256
382,297.15414,297.74478,302.36493
383,298.63513,300.38303,303.14084
384,299.48312,302.72638,300.6668
385,300.31985,303.549,299.64874
386,298.76483,303.89026,300.66745
387,299.94504,304.2157,302.48322
388,302.6755,303.27643,300.72305
389,300.88184,302.14093,297.65564
390,300.4223,302.61212,297.683
391,297.82034,300.69736,297.62494
392,297.47925,298.84454,300.29602
393,299.51627,299.76852,303.7991
394,299.10593,301.39227,306.19116
395,297.85706,299.06873,307.44012
396,292.00647,296.9855,304.74457
397,294.31473,297.12143,301.2047
398,296.33755,299.82343,298.76587
399,296.33163,300.47015,297.34604
400,299.42392,301.70465,296.5854
401,300.72192,302.15152,295.9886
402,300.77524,300.9079,298.23737
403,300.26358,297.25922,300.01834
404,297.2708,295.99176,300.12268
405,296.77695,298.84064,300.25378
406,300.23047,301.48865,300.7031
407,300.48862,300.4352,301.07993
408,300.12503,299.37222,302.7457
409,300.47385,297.33383,305.23175
410,300.30682,297.77335,305.87753
411,299.64774,299.27533,298.64676
412,300.65976,301.0062,292.91245
413,299.0846,300.9316,293.34424
414,298.06192,301.16205,295.87195
415,297.77176,301.9086,299.28302
416,300.57034,302.82828,300.46225
417,297.82565,300.3181,302.02573
418,296.4761,299.74524,300.04245
419,298.07202,301.56805,299.31036
420,294.88913,303.42047,299.55127
421,295.88632,295.65076,301.10248
422,291.04776,295.46762,300.67145
423,295.21188,293.1126,302.72046
424,299.05322,294.97394,304.4063
425,297.89258,298.94482,305.81796
426,293.46317,297.1772,305.2163
427,291.01636,295.96518,305.11484
428,290.52194,297.50824,304.9562
429,292.4281,299.2569,305.62003
430,294.2709,299.51447,307.47546
431,296.87582,296.15378,307.74902
432,294.61435,296.58453,302.5183
433,291.72165,297.20956,297.6546
434,293.69473,297.40308,297.41858
435,295.2308,298.48236,299.68048
436,294.9288,299.14203,302.9516
437,292.70523,299.31375,306.33304
